Sample_ID,Patient_ID,Protein,Intensity
1_S1,P001,ProtA,0.39
1_S1,P001,ProtB,1.0
1_S1,P001,ProtC,0.7
1_S1,P001,ProtD,0.57
1_S1,P001,ProtE,0.13
1_S2,P001,ProtA,0.33
1_S2,P001,ProtB,0.82
1_S2,P001,ProtC,0.78
1_S2,P001,ProtD,0.64
1_S2,P001,ProtE,0.08
2_S1,P002,ProtA,0.14
2_S1,P002,ProtB,0.22
2_S1,P002,ProtC,0.34
2_S1,P002,ProtD,0.46
2_S1,P002,ProtE,0.73
2_S2,P002,ProtA,0.16
2_S2,P002,ProtB,0.26
2_S2,P002,ProtC,0.35
2_S2,P002,ProtD,0.43
2_S2,P002,ProtE,0.88
3_S1,P003,ProtA,0.06
3_S1,P003,ProtB,0.55
3_S1,P003,ProtC,0.17
3_S1,P003,ProtD,0.97
3_S1,P003,ProtE,0.27
3_S2,P003,ProtA,0.17
3_S2,P003,ProtB,0.44
3_S2,P003,ProtC,0.0
3_S2,P003,ProtD,0.95
3_S2,P003,ProtE,0.23
4_S1,P004,ProtA,0.32
4_S1,P004,ProtB,0.31
4_S1,P004,ProtC,0.59
4_S1,P004,ProtD,0.19
4_S1,P004,ProtE,0.76
4_S2,P004,ProtA,0.34
4_S2,P004,ProtB,0.3
4_S2,P004,ProtC,0.59
4_S2,P004,ProtD,0.12
4_S2,P004,ProtE,0.79
5_S1,P005,ProtA,0.26
5_S1,P005,ProtB,0.32
5_S1,P005,ProtC,0.78
5_S1,P005,ProtD,0.68
5_S1,P005,ProtE,0.96
5_S2,P005,ProtA,0.33
5_S2,P005,ProtB,0.49
5_S2,P005,ProtC,0.68
5_S2,P005,ProtD,0.62
5_S2,P005,ProtE,0.88
6_S1,P006,ProtA,0.1
6_S1,P006,ProtB,0.05
6_S1,P006,ProtC,0.71
6_S1,P006,ProtD,0.29
6_S1,P006,ProtE,0.47
6_S2,P006,ProtA,0.08
6_S2,P006,ProtB,0.08
6_S2,P006,ProtC,0.65
6_S2,P006,ProtD,0.29
6_S2,P006,ProtE,0.53
7_S1,P007,ProtA,0.88
7_S1,P007,ProtB,0.52
7_S1,P007,ProtC,0.87
7_S1,P007,ProtD,0.88
7_S1,P007,ProtE,0.19
7_S2,P007,ProtA,0.91
7_S2,P007,ProtB,0.52
7_S2,P007,ProtC,0.79
7_S2,P007,ProtD,0.92
7_S2,P007,ProtE,0.31
8_S1,P008,ProtA,0.23
8_S1,P008,ProtB,0.52
8_S1,P008,ProtC,0.71
8_S1,P008,ProtD,0.49
8_S1,P008,ProtE,0.96
8_S2,P008,ProtA,0.34
8_S2,P008,ProtB,0.52
8_S2,P008,ProtC,0.64
8_S2,P008,ProtD,0.42
8_S2,P008,ProtE,1.0
9_S1,P009,ProtA,0.19
9_S1,P009,ProtB,0.73
9_S1,P009,ProtC,0.34
9_S1,P009,ProtD,0.68
9_S1,P009,ProtE,0.72
9_S2,P009,ProtA,0.28
9_S2,P009,ProtB,0.73
9_S2,P009,ProtC,0.35
9_S2,P009,ProtD,0.66
9_S2,P009,ProtE,0.57
10_S1,P010,ProtA,0.14
10_S1,P010,ProtB,0.67
10_S1,P010,ProtC,0.43
10_S1,P010,ProtD,0.88
10_S1,P010,ProtE,0.15
10_S2,P010,ProtA,0.24
10_S2,P010,ProtB,0.61
10_S2,P010,ProtC,0.4
10_S2,P010,ProtD,0.95
10_S2,P010,ProtE,0.18
11_S1,P011,ProtA,0.37
11_S1,P011,ProtB,0.41
11_S1,P011,ProtC,0.74
11_S1,P011,ProtD,0.94
11_S1,P011,ProtE,0.9
11_S2,P011,ProtA,0.28
11_S2,P011,ProtB,0.4
11_S2,P011,ProtC,0.79
11_S2,P011,ProtD,0.93
11_S2,P011,ProtE,0.84
12_S1,P012,ProtA,0.28
12_S1,P012,ProtB,0.42
12_S1,P012,ProtC,0.73
12_S1,P012,ProtD,0.61
12_S1,P012,ProtE,0.8
12_S2,P012,ProtA,0.2
12_S2,P012,ProtB,0.32
12_S2,P012,ProtC,0.76
12_S2,P012,ProtD,0.66
12_S2,P012,ProtE,0.89
13_S1,P013,ProtA,0.75
13_S1,P013,ProtB,0.55
13_S1,P013,ProtC,0.58
13_S1,P013,ProtD,0.49
13_S1,P013,ProtE,0.19
13_S2,P013,ProtA,0.83
13_S2,P013,ProtB,0.48
13_S2,P013,ProtC,0.62
13_S2,P013,ProtD,0.54
13_S2,P013,ProtE,0.18
14_S1,P014,ProtA,0.27
14_S1,P014,ProtB,0.18
14_S1,P014,ProtC,0.56
14_S1,P014,ProtD,0.88
14_S1,P014,ProtE,0.71
14_S2,P014,ProtA,0.34
14_S2,P014,ProtB,0.22
14_S2,P014,ProtC,0.61
14_S2,P014,ProtD,0.87
14_S2,P014,ProtE,0.65
15_S1,P015,ProtA,0.88
15_S1,P015,ProtB,0.81
15_S1,P015,ProtC,0.93
15_S1,P015,ProtD,0.96
15_S1,P015,ProtE,0.52
15_S2,P015,ProtA,0.82
15_S2,P015,ProtB,0.75
15_S2,P015,ProtC,0.79
15_S2,P015,ProtD,0.92
15_S2,P015,ProtE,0.47
16_S1,P016,ProtA,0.01
16_S1,P016,ProtB,0.52
16_S1,P016,ProtC,0.55
16_S1,P016,ProtD,0.23
16_S1,P016,ProtE,0.56
16_S2,P016,ProtA,0.07
16_S2,P016,ProtB,0.43
16_S2,P016,ProtC,0.55
16_S2,P016,ProtD,0.29
16_S2,P016,ProtE,0.56
17_S1,P017,ProtA,0.59
17_S1,P017,ProtB,0.61
17_S1,P017,ProtC,0.7
17_S1,P017,ProtD,0.89
17_S1,P017,ProtE,0.48
17_S2,P017,ProtA,0.62
17_S2,P017,ProtB,0.62
17_S2,P017,ProtC,0.71
17_S2,P017,ProtD,0.99
17_S2,P017,ProtE,0.44
18_S1,P018,ProtA,0.82
18_S1,P018,ProtB,0.71
18_S1,P018,ProtC,0.2
18_S1,P018,ProtD,0.93
18_S1,P018,ProtE,0.8
18_S2,P018,ProtA,0.68
18_S2,P018,ProtB,0.68
18_S2,P018,ProtC,0.32
18_S2,P018,ProtD,0.91
18_S2,P018,ProtE,0.73
19_S1,P019,ProtA,0.57
19_S1,P019,ProtB,0.54
19_S1,P019,ProtC,0.17
19_S1,P019,ProtD,0.41
19_S1,P019,ProtE,0.4
19_S2,P019,ProtA,0.61
19_S2,P019,ProtB,0.49
19_S2,P019,ProtC,0.22
19_S2,P019,ProtD,0.42
19_S2,P019,ProtE,0.4
20_S1,P020,ProtA,0.69
20_S1,P020,ProtB,0.84
20_S1,P020,ProtC,0.57
20_S1,P020,ProtD,0.42
20_S1,P020,ProtE,0.66
20_S2,P020,ProtA,0.55
20_S2,P020,ProtB,0.93
20_S2,P020,ProtC,0.55
20_S2,P020,ProtD,0.36
20_S2,P020,ProtE,0.69
21_S1,P021,ProtA,0.09
21_S1,P021,ProtB,0.74
21_S1,P021,ProtC,0.66
21_S1,P021,ProtD,0.84
21_S1,P021,ProtE,0.65
21_S2,P021,ProtA,0.06
21_S2,P021,ProtB,0.66
21_S2,P021,ProtC,0.69
21_S2,P021,ProtD,0.96
21_S2,P021,ProtE,0.71
22_S1,P022,ProtA,0.79
22_S1,P022,ProtB,0.09
22_S1,P022,ProtC,0.92
22_S1,P022,ProtD,0.5
22_S1,P022,ProtE,0.83
22_S2,P022,ProtA,0.78
22_S2,P022,ProtB,0.06
22_S2,P022,ProtC,1.0
22_S2,P022,ProtD,0.45
22_S2,P022,ProtE,0.77
23_S1,P023,ProtA,0.64
23_S1,P023,ProtB,0.75
23_S1,P023,ProtC,0.69
23_S1,P023,ProtD,0.88
23_S1,P023,ProtE,0.08
23_S2,P023,ProtA,0.71
23_S2,P023,ProtB,0.78
23_S2,P023,ProtC,0.86
23_S2,P023,ProtD,0.77
23_S2,P023,ProtE,0.1
24_S1,P024,ProtA,0.75
24_S1,P024,ProtB,0.64
24_S1,P024,ProtC,0.05
24_S1,P024,ProtD,0.07
24_S1,P024,ProtE,1.0
24_S2,P024,ProtA,0.9
24_S2,P024,ProtB,0.75
24_S2,P024,ProtC,0.07
24_S2,P024,ProtD,0.08
24_S2,P024,ProtE,0.94
25_S1,P025,ProtA,0.07
25_S1,P025,ProtB,0.51
25_S1,P025,ProtC,0.08
25_S1,P025,ProtD,0.12
25_S1,P025,ProtE,0.05
25_S2,P025,ProtA,0.0
25_S2,P025,ProtB,0.45
25_S2,P025,ProtC,0.08
25_S2,P025,ProtD,0.12
25_S2,P025,ProtE,0.17
26_S1,P026,ProtA,1.0
26_S1,P026,ProtB,0.12
26_S1,P026,ProtC,0.66
26_S1,P026,ProtD,0.93
26_S1,P026,ProtE,0.57
26_S2,P026,ProtA,1.0
26_S2,P026,ProtB,0.18
26_S2,P026,ProtC,0.51
26_S2,P026,ProtD,0.93
26_S2,P026,ProtE,0.49
27_S1,P027,ProtA,0.37
27_S1,P027,ProtB,0.37
27_S1,P027,ProtC,0.61
27_S1,P027,ProtD,0.13
27_S1,P027,ProtE,1.0
27_S2,P027,ProtA,0.54
27_S2,P027,ProtB,0.39
27_S2,P027,ProtC,0.58
27_S2,P027,ProtD,0.07
27_S2,P027,ProtE,0.96
28_S1,P028,ProtA,0.8
28_S1,P028,ProtB,1.0
28_S1,P028,ProtC,0.07
28_S1,P028,ProtD,0.56
28_S1,P028,ProtE,0.38
28_S2,P028,ProtA,0.81
28_S2,P028,ProtB,0.96
28_S2,P028,ProtC,0.18
28_S2,P028,ProtD,0.54
28_S2,P028,ProtE,0.37
29_S1,P029,ProtA,0.91
29_S1,P029,ProtB,0.59
29_S1,P029,ProtC,0.24
29_S1,P029,ProtD,0.77
29_S1,P029,ProtE,0.62
29_S2,P029,ProtA,1.0
29_S2,P029,ProtB,0.61
29_S2,P029,ProtC,0.29
29_S2,P029,ProtD,0.72
29_S2,P029,ProtE,0.63
30_S1,P030,ProtA,0.36
30_S1,P030,ProtB,0.17
30_S1,P030,ProtC,0.08
30_S1,P030,ProtD,0.67
30_S1,P030,ProtE,0.56
30_S2,P030,ProtA,0.3
30_S2,P030,ProtB,0.12
30_S2,P030,ProtC,0.06
30_S2,P030,ProtD,0.83
30_S2,P030,ProtE,0.62
